institute_std,learner_count,active_learner_count,class_count,attempt_count,avg_cas_proxy_score_pct,ready_subject_count,at_risk_subject_count,missing_institute_excluded_count,evidence_level,dq_warning_count
BUILSA COMMUNITY BANK LTD.,54,54,2,101,89.93,2,0,0,MEDIUM,60
BURMA CAMP,1,1,1,1,72.0,1,0,0,VERY_LOW,1
Baidoo bonsoe senior high technical school,2,1,2,2,70.8,1,0,0,VERY_LOW,2
Bangmarigu Community Bank,2,2,1,2,98.67,1,0,0,VERY_LOW,2
Bank,1,1,1,1,78.66,1,0,0,VERY_LOW,1
Banker,1,2,1,2,84.0,1,0,0,VERY_LOW,0
Banking,7,7,2,9,98.5,2,0,0,LOW,4
Bawjiase Area Rural Bank,1,1,1,1,86.66,1,0,0,VERY_LOW,1
Bawjiase Area Rural Bank PLC,1,1,1,1,100.0,1,0,0,VERY_LOW,1
Bawjiase Community Bank,2,2,1,2,64.0,0,0,0,VERY_LOW,0
Bawjiase Community Bank plc,1,1,1,1,97.34,1,0,0,VERY_LOW,0
Bawjiase area rural bank,2,1,2,3,94.66,2,0,0,VERY_LOW,3
Bekwai SDA Senior High,1,1,1,1,64.0,0,0,0,VERY_LOW,1
Belcoff school complex,1,1,1,1,50.25,0,1,0,VERY_LOW,1
Bessfa,1,1,1,1,78.66,1,0,0,VERY_LOW,1
Bessfa Rural Bank,2,2,1,3,84.0,1,0,0,VERY_LOW,0
Bessfa rural bank ltd,1,1,1,2,70.66,1,0,0,VERY_LOW,1
Big boss,1,1,1,1,44.0,0,1,0,VERY_LOW,1
Binduli Methodist J H S,1,1,1,1,60.0,0,0,0,VERY_LOW,1
Boass,1,1,1,1,21.57,0,1,0,VERY_LOW,1
Bogoso,1,1,1,1,38.0,0,1,0,VERY_LOW,1
Bolenstein,2,1,2,2,45.6,0,1,0,VERY_LOW,2
Bolgatanga Girls' Senior High School,3,1,3,10,74.13333333333334,2,0,0,LOW,0
Bosome Freho Rural Bank,1,1,1,1,97.34,1,0,0,VERY_LOW,1
Brakwa Breman Community Bank,1,1,1,1,92.0,1,0,0,VERY_LOW,0
Brakwa Breman Rural Bank PLc,1,1,1,1,100.0,1,0,0,VERY_LOW,0
Builsa Community Bank PLC,1,1,1,2,97.34,1,0,0,VERY_LOW,2
Burma,2,1,2,2,27.48,0,2,0,VERY_LOW,2
Burma camp,1,1,1,2,70.0,1,0,0,VERY_LOW,2
Burma camp JHS,2,1,2,3,97.0,2,0,0,VERY_LOW,3
Business,3,1,3,3,60.666666666666664,1,1,0,VERY_LOW,1
C.P.S,5,1,5,5,92.4,5,0,0,VERY_LOW,3
CAPITAL RURAL BANK LTD.,73,73,1,155,94.19,1,0,0,HIGH,120
CAPITAL RURAL BANK PLC,4,4,1,9,94.07,1,0,0,LOW,9
CHNTC-TAMALE,1,1,1,1,77.6,1,0,0,VERY_LOW,0
CITIZENS RURAL BANK LTD,11,11,1,12,84.89,1,0,0,LOW,6
CITIZENS RURAL BANK LTD.,22,23,1,22,90.43,1,0,0,MEDIUM,15
COHSA,5,5,1,7,83.51,1,0,0,LOW,6
COLLEGE OF HEALTH ASAFO,1,1,1,3,79.26,1,0,0,LOW,3
CPS,100,21,5,100,85.04400000000001,5,0,0,MEDIUM,63
Campus Today,1,1,1,1,26.0,0,1,0,VERY_LOW,1
Cape Coast Nursing,1,1,1,1,93.6,1,0,0,VERY_LOW,0
Cape Tech,2,2,2,3,46.165,0,2,0,VERY_LOW,3
Capital Rural Bank,2,2,1,5,92.0,1,0,0,LOW,3
Capital Rural Bank PLC,2,2,1,5,93.6,1,0,0,LOW,3
College,2,1,2,2,55.0,0,1,0,VERY_LOW,2
College Of Health Asafo,1,1,1,3,42.6,0,1,0,LOW,3
Comboni Teachnical,2,1,2,2,51.2,0,1,0,VERY_LOW,2
Combotech,1,1,1,1,60.0,0,0,0,VERY_LOW,1
Corpus Christi snr high,1,1,1,1,40.0,0,1,0,VERY_LOW,1
DANGME RURAL BANK LTD.,78,78,1,124,92.47,1,0,0,HIGH,57
DEKS EDUCTIONAL INSTITUTE,1,1,1,1,24.0,0,1,0,VERY_LOW,1
DENKYIRAMAN RURAL BANK LIMITED,1,1,1,2,93.33,1,0,0,VERY_LOW,1
DENKYIRAMAN RURAL BANK LTD,22,21,2,37,96.11,2,0,0,LOW,26
DERMA RURAL BANK LTD.,1,1,1,1,89.34,1,0,0,VERY_LOW,0
DPC,1,1,1,1,90.0,1,0,0,VERY_LOW,1
DROBO COMMUNITY BANK,1,1,1,1,92.0,1,0,0,VERY_LOW,1
DROBO COMMUNITY BANK LTD.,25,25,1,39,90.97,1,0,0,HIGH,19
Darko Naomi,1,1,1,1,98.4,1,0,0,VERY_LOW,0
Darunnazat Siddikia Kamil Madrasah,1,1,1,1,100.0,1,0,0,VERY_LOW,1
Denkyiraman Rural Bank,1,1,1,1,94.66,1,0,0,VERY_LOW,0
Dexterity,2,2,1,2,76.0,1,0,0,VERY_LOW,0
Distance course,1,1,1,1,68.0,0,0,0,VERY_LOW,1
Drobo Community Bank,1,1,1,2,98.67,1,0,0,VERY_LOW,1
Dzemeni RC Jhs,3,1,3,4,78.39999999999999,3,0,0,VERY_LOW,4
Dzodze,1,1,1,1,44.0,0,1,0,VERY_LOW,1
EAST AKIM RURAL BANK LTD,2,2,1,3,96.45,1,0,0,VERY_LOW,0
EAST AKIM RURAL BANK LTD.,52,52,1,78,94.8,1,0,0,HIGH,53
EDEN MONTESSORI L.C.,1,1,1,1,92.0,1,0,0,VERY_LOW,1
EFFIDUASE RURAL BANK LTD,1,1,1,1,92.0,1,0,0,VERY_LOW,1
EFFIDUASE RURAL BANK LTD.,17,17,1,21,93.02,1,0,0,MEDIUM,19
EJURAMAN RURAL BANK LIMITED,89,90,1,89,97.24,1,0,0,HIGH,82
ENYAN DENKYIRA RURAL BANK LTD.,105,104,2,210,97.57,2,0,0,MEDIUM,147
Ecampus,2,1,2,2,60.0,1,1,0,VERY_LOW,2
Education,3,4,3,3,47.11333333333334,0,2,0,VERY_LOW,3
Effort Montessori School International,2,1,2,3,88.0,2,0,0,VERY_LOW,3
Efutu Senior High school,2,1,2,2,54.0,0,1,0,VERY_LOW,2
Efutu senior high,1,1,1,2,77.6,1,0,0,VERY_LOW,2
Ekumfi T. I.  Ahmadiyya Senior High School,1,1,1,1,38.0,0,1,0,VERY_LOW,1
Emmabs,1,1,1,1,66.0,0,0,0,VERY_LOW,1
Emmanuel Presbyterian JHS,2,1,2,2,53.0,0,1,0,VERY_LOW,2
English language,1,1,1,1,56.0,0,0,0,VERY_LOW,1
FIAGYA RURAL BANK LIMITED,2,2,1,2,92.0,1,0,0,VERY_LOW,1
FIAGYA RURAL BANK LTD.,17,17,1,21,87.52,1,0,0,MEDIUM,17
FIASEMAN BANK PLC,1,1,1,2,88.0,1,0,0,VERY_LOW,0
FIASEMAN RURAL BANK LTD,1,1,1,1,78.66,1,0,0,VERY_LOW,1
FIASEMAN RURAL BANK LTD.,195,192,5,283,85.208,4,0,0,LOW,140
FIASEMAN RURAL BANK PLC.,2,1,2,3,81.33500000000001,1,0,0,VERY_LOW,1
Fataw Ibrahim,1,1,1,1,51.47,0,1,0,VERY_LOW,1
Fiagy Community Bank,1,1,1,1,78.66,1,0,0,VERY_LOW,1
Fiaseman Community Bank Plc,1,1,1,1,94.66,1,0,0,VERY_LOW,1
Fiaseman Rural Bank,1,1,1,2,90.67,1,0,0,VERY_LOW,1
Fiaseman Rural Bank PLC,3,3,1,4,94.0,1,0,0,LOW,4
Fiaseman Senior High School,1,1,1,1,90.4,1,0,0,VERY_LOW,1
Fiaseman rural bank,4,4,1,4,90.67,1,0,0,LOW,4
Franaddo School Complex,1,1,1,1,82.0,1,0,0,VERY_LOW,1
G.E.S,1,1,1,1,30.0,0,1,0,VERY_LOW,1
GA RURAL BANK LIMITED,1,2,1,1,73.34,1,0,0,VERY_LOW,1
GCIHS,1,1,1,1,91.79,1,0,0,VERY_LOW,1
GES,1,1,1,1,74.0,1,0,0,VERY_LOW,1
GJSS,1,1,1,1,64.0,0,0,0,VERY_LOW,1
